episode,return
1.000000000000000000e+00,-3.530103223034533499e+00
2.000000000000000000e+00,-3.288509198513358989e+00
3.000000000000000000e+00,-1.148952025820956235e+00
4.000000000000000000e+00,-3.645227653855403815e+00
5.000000000000000000e+00,-3.545965436501244294e+00
6.000000000000000000e+00,-1.804672022918887953e+00
7.000000000000000000e+00,-1.494264073536677673e+00
8.000000000000000000e+00,-1.425573203354522533e+00
9.000000000000000000e+00,-1.729572107352809862e+00
1.000000000000000000e+01,-2.118677120255703095e+00
1.100000000000000000e+01,-1.546809266178616804e+00
1.200000000000000000e+01,-1.270943936568162069e+00
1.300000000000000000e+01,-1.204074161904041373e+00
1.400000000000000000e+01,-1.975753545377011422e+00
1.500000000000000000e+01,-2.171753239167182326e+00
1.600000000000000000e+01,-1.368548218811781458e+00
1.700000000000000000e+01,-5.523214924612172005e+00
1.800000000000000000e+01,-5.819516045562311835e-01
1.900000000000000000e+01,-1.472000884075322480e+00
2.000000000000000000e+01,-3.107424634202408331e+00
2.100000000000000000e+01,-2.702001508250612805e+00
2.200000000000000000e+01,-1.842053775126674120e+00
2.300000000000000000e+01,3.939216569501133858e-01
2.400000000000000000e+01,-1.756912665624645875e+00
2.500000000000000000e+01,-1.077751542690879694e+00
2.600000000000000000e+01,-1.915807460375944959e+00
2.700000000000000000e+01,-1.195462783756145120e+00
2.800000000000000000e+01,-3.028495630480767531e-01
2.900000000000000000e+01,-3.462088507810976878e+00
3.000000000000000000e+01,-1.323822596622466818e+00
3.100000000000000000e+01,-3.111318641324373857e+00
3.200000000000000000e+01,-1.648125945947993554e+00
3.300000000000000000e+01,-1.623275669862441983e+00
3.400000000000000000e+01,-4.013332375264542229e-01
3.500000000000000000e+01,-1.528656966397382577e+00
3.600000000000000000e+01,-2.592576725147128780e-01
3.700000000000000000e+01,-1.994810793200547883e+00
3.800000000000000000e+01,-1.354290571665733411e+00
3.900000000000000000e+01,-2.843002945170451934e-01
4.000000000000000000e+01,-6.051584106856424672e-01
4.100000000000000000e+01,-3.319858950416092469e+00
4.200000000000000000e+01,-1.088478441351116821e+00
4.300000000000000000e+01,-2.685480769674541968e+00
4.400000000000000000e+01,-1.425330668515599086e+00
